MES_ANO;UF_PROCEDENCIA;CATEGORIA;QTD_MACHO;QTD_FEMEA
01/2003;MG;Equino;737;732
01/2003;MT;Novilho Precoce;647;0
01/2003;PR;Suino;80790;76546
01/2003;RS;Leitao;52;0
01/2004;DF;Frango;2929490;0
01/2004;MG;Novilhona;10;0
01/2004;MT;Touro/Touruno;1800;0
01/2004;SC;Coelho;225;0
01/2004;SP;Capivara;5;0
01/2004;SP;Galeto;10236;0
01/2005;BA;Ovino;308;109
01/2006;AM;Bufala;56;0
01/2006;RS;Novilhao;11120;0
01/2006;SC;Novilho Intermediario;2117;0
01/2006;SC;Porco Matrizeiro;354;0
01/2007;GO;Novilha Precoce;255;0
01/2007;MS;Suino;4670;4608
01/2007;PA;Novilhona;2529;0
01/2008;MS;Touro/Touruno;124;0
01/2008;MT;Frango;10866771;0
01/2008;RS;Galeto;181301;0
01/2009;RS;Galinha;700002;0
01/2009;SC;Coelha;563;0
01/2009;SP;Novilhona;1928;0
01/2010;MG;Ovino;127;30
01/2010;PA;Frango;2089198;0
01/2010;RS;Touro/Touruno;70;0
01/2011;MG;Novilha Precoce;459;0
01/2011;PR;Galo;1787;0
01/2012;GO;Bufala;67;0
01/2012;MG;Coelho;460;0
01/2012;RN;Frango;464398;0
01/2012;SE;Suino;53;67
01/2013;BA;Bufalo;183;0
01/2013;BA;Caprino;135;471
01/2013;MS;Galinha;68975;0
01/2013;SE;Suino;173;165
01/2014;AC;Vaca;462;0
01/2014;GO;Bufalo;99;0
01/2014;GO;Nonato;15;0
01/2014;SP;Novilha Precoce;815;0
01/2015;AM;Bovino;2977;1435
01/2015;GO;Ovino;4;3
01/2016;ES;Bovino;12215;3915
01/2016;MS;Novilha Precoce;412;0
01/2016;PE;Cordeiro;117;0
01/2016;PR;Vaca;4003;0
01/2016;RS;Novilha Intermediaria;172;0
01/2017;BA;Ovino;92;40
01/2017;GO;Galinha De Postura;13464;0
01/2017;MG;Porco Nao Classificado;52628;0
01/2017;MS;Galinha;86846;0
01/2018;BA;Asinino;2180;2794
01/2018;MT;Suino Tipo Carne,;100566;91649
01/2018;RS;Leitoa;2728;0
01/2018;SP;Porca Matrizeira;983;0
01/2019;MT;Leitao;151;0
01/2019;PR;Leitoa;1772;0
01/2019;SC;Peru;277334;0
01/2020;GO;Novilha Intermediaria;4841;0
01/2020;MA;Bovino;27600;177
01/2020;MA;Galinha;5729;0
01/2020;MG;Muar;0;1
01/2020;PR;Galo;80533;0
01/2020;PR;Touro/Touruno;30;0
01/2021;MT;Porca Matrizeira;2337;0
01/2022;PA;Muar;43;42
01/2022;SC;Aves;7528459;9593137
01/2022;SC;Peru;419977;85744
02/2002;RS;Porco Matrizeiro;105;0
02/2002;SC;Frango;6445050;0
02/2003;RS;Novilha Precoce;60;0
02/2004;MG;Suino Tipo Carne,;24578;23787
02/2004;SC;Bubalino Jovem;11;0
02/2004;SC;Novilho Intermediario;1825;0
02/2005;GO;Novilha Intermediaria;454;0
